timestamp,puechabon_rainfall (mm),puechabon_evapotranspiration (mm),puechabon_air_temperature_average (°C),puechabon_soil_temperature (°C)
2012-08-25 01:00:00,80.8,31.4169020571325,18.7159042516667,17.9167523148148
2012-09-22 01:00:00,142.8,29.0379539056733,14.7988539032258,15.3101960125448
2012-10-20 01:00:00,123.2,6.32476047042357,9.563668805,11.0158368055556
2012-11-17 00:00:00,74.7,4.3003094515967,6.6723605016129,7.93052004928315
2013-01-12 00:00:00,69.1,10.0141887872043,5.28447496774194,6.44288250448029
2013-02-09 00:00:00,26.7,13.7308184349233,4.31228604821429,5.63474950396825
2013-03-09 00:00:00,365.5,16.2428843344319,7.76512037580645,7.1420120523416
2013-04-06 01:00:00,73.5,26.9299918204062,11.437950166129,9.87620960648148
2013-05-04 01:00:00,70.9,45.0228884388446,13.813626321875,12.1961869855967
2013-06-01 01:00:00,25.5,65.7998829508936,18.7426903833333,15.5764108796296
2013-06-29 01:00:00,13.1,39.1728018836963,24.1279430967742,19.5838508064516
2013-07-27 01:00:00,30.7,14.5707431721248,22.6292832903226,19.649208109319
2013-08-24 01:00:00,74.08144,16.7908874342573,19.0583826166667,17.5835046296296
2013-09-21 01:00:00,77.4,13.0216461806622,15.6740263258161,16.0593125
2013-10-19 01:00:00,52.722,11.0445545672295,9.648761775,10.7109439814815
2013-12-14 00:00:00,22.8,7.53659301884788,7.17356443548387,7.9573604390681
2014-01-11 00:00:00,95.6,4.9940760723361,7.19446774193548,8.29763060035843
2014-02-08 00:00:00,69.8,10.6156111582074,7.36257142857143,7.73982254464286
2014-03-08 00:00:00,12.4,20.9995883720808,9.78024193548387,8.52727649853801
2014-04-05 01:00:00,29,22.2421909257434,13.8148333333333,11.9902326388889
2014-05-03 01:00:00,52.6,19.5265842576918,15.3867419354839,13.7898123079877
2014-05-31 01:00:00,48,23.4742666649492,20.75,17.5866030092593
2014-06-28 01:00:00,111.834453,31.5977783018833,21.4216828225806,18.693486544841
2014-07-26 01:00:00,43.4,52.2102660153375,20.99452,19.017290546595
2014-08-23 01:00:00,431.6,37.8187978818679,19.0757,18.1393733813314
2014-09-20 01:00:00,68.8,29.9711110841528,16.4524193548387,16.4497435035842
2014-10-18 01:00:00,263.2,7.63346400500089,11.6987,12.7325949074074
2014-12-13 00:00:00,49.8,7.61969170776662,7.32832258064516,8.98195575955159
